UID
Q12797
Q9NXG6
Q02809
O00469
O60568
Q9GZT9
Q96KS0
Q9H6Z9
Q9NWT6
Q9H9V9
Q8N371
Q6NYC1
P0C870
Q32P28
Q8IVL5
Q8IVL6
Q8IUF8
Q9H6W3
Q8N543
P13674
O15460
Q7Z4N8
Q9Y2K7
Q9BY66
Q8NHM5
Q9Y4C1
Q7LBC6
O75164
O94953
Q9H3R0
Q6B0I6
P29375
Q9UGL1
P41229
O15550
O15054
O14607
Q6ZMT4
P0CF52
INVALID
Q13686
Q6NS38
Q96Q83
Q6P6C2
Q96BT7
Q9C0B1
Q8NFU7
A2RUC4
O75936
O14832
Q9NVH6
Q6N021
O43151
Q9NXW9
Q5SRE7
Q3KRA9
Q9BT30
Q5U4P2
Q6ICH7
Q96EW2
Q92833
Q96S16
Q6N063
Q6PK18
O75151
Q8N5Z0
P04181
Q9Y617
P17735
P80404
P21549
Q9BYV1
P54687
O15382
Q16773
Q6YP21
Q06210
O94808
P17174
P00505
P24298
Q8TD30
Q9UDR5
O75874
P48735
P50213
O43837
P51553
Q02218
Q9ULD0
O43175
Q8IWW8
P30837
P05091
P51648
P49419
P49189
Q96HY7
P09622
P00367
P49448
Q4U2R8
Q9Y694
Q8TCC7
Q9NSA0
A6NK97
Q6T423
Q9Y226
Q96S37
P36957
Q9NQR4
Q9UPP1
Q5VWQ0
Q6PCB5
Q02978
