The total number of proteins identified,The number of proteins in the database,The number of proteins that do not exist in the database
P49841,O43318,
Q13043,O96013,
Q9H2G2,P24941,
O43318,P41743,
P24941,P49841,
Q00535,Q00535,
P41743,Q13043,
Q13177,Q13177,
Q13557,Q13557,
Q96SB4,Q7KZI7,
Q7KZI7,Q96SB4,
O96013,Q9H2G2,
Q9Y2H1,Q9Y2H1,
